TransactionAmount,AverageTransactionAmount,CustomerLocation,RecipientLocation,TransactionType,CurrencyType,RiskLabel
113.02,249.00,Cape Town,Stockholm,Donation,HKD,False
303.83,356.00,Tokyo,Dubai,Loan,NZD,False
542.85,694.00,Helsinki,Amsterdam,Fee,ZAR,False
60.35,184.00,London,Amsterdam,Exchange,BRL,False
320.36,547.00,Amsterdam,Dubai,Invoice,MXN,False
28.79,699.00,London,Toronto,Donation,GBP,False
555.17,923.00,Paris,London,Invoice,RUB,False
89.49,165.00,Sydney,Rio de Janeiro,Invoice,BRL,False
310.24,491.00,Dublin,Berlin,Purchase,JPY,False
658.15,194.00,Sydney,Seoul,Subscription,SGD,True
4455.22,606.00,Mumbai,Toronto,Subscription,SGD,True
153.78,762.00,Rome,Sydney,Reimbursement,BRL,False
9.33,353.00,Tokyo,Berlin,Invoice,MXN,False
579.43,820.00,Paris,Dubai,Withdrawal,MXN,False
665.79,483.00,Mumbai,Helsinki,Invoice,KRW,False
91.73,164.00,Mexico City,Rio de Janeiro,Credit,SGD,False
305.38,981.00,Cape Town,Dublin,Debit,AUD,False
233.74,159.00,Paris,Toronto,Loan,KRW,False
443.66,588.00,Moscow,Rio de Janeiro,Reimbursement,JPY,False
732.58,599.00,Sydney,Amsterdam,Reimbursement,MXN,False
113.80,166.00,Moscow,Tokyo,Transfer,MXN,True
104.46,762.00,Dubai,Mumbai,Reimbursement,CHF,False
742.51,500.00,Athens,Paris,Invoice,RUB,False
5.80,127.00,Moscow,Stockholm,Fee,AUD,False
359.32,279.00,Stockholm,Dublin,Credit,GBP,False
1074.80,761.00,Amsterdam,Tokyo,Debit,KRW,False
3521.97,711.00,Amsterdam,Cape Town,Reimbursement,MXN,True
248.07,341.00,Cape Town,Amsterdam,Transfer,INR,False
29.89,394.00,Tokyo,Paris,Invoice,BRL,False
970.57,236.00,London,Rome,Invoice,ZAR,True
775.59,723.00,Seoul,Mumbai,Refund,CNY,True
288.76,671.00,Stockholm,Toronto,Payment,USD,False
291.92,222.00,Toronto,Stockholm,Payment,CHF,False
415.77,890.00,Rome,Cape Town,Fee,CAD,False
66.26,168.00,Toronto,Stockholm,Reimbursement,GBP,False
46.46,159.00,New York,Dublin,Purchase,AUD,True
80.90,142.00,Seoul,Paris,Purchase,AUD,True
1365.18,562.00,Helsinki,London,Purchase,MXN,True
734.09,697.00,Moscow,Dubai,Credit,SGD,False
328.21,378.00,New York,Dubai,Reimbursement,TRY,False
379.86,262.00,Rome,Rio de Janeiro,Subscription,NOK,False
604.51,990.00,Rome,Seoul,Payment,NOK,False
215.07,436.00,Stockholm,Rio de Janeiro,Deposit,GBP,False
244.27,945.00,Dublin,London,Credit,BRL,False
426.78,405.00,Rome,Moscow,Loan,KRW,False
512.57,385.00,Dubai,Rome,Withdrawal,GBP,False
306.35,521.00,Sydney,Cape Town,Invoice,EUR,False
599.98,979.00,Helsinki,Paris,Reimbursement,SGD,False
1286.95,926.00,Paris,London,Withdrawal,NZD,False
287.90,316.00,Amsterdam,New York,Loan,MXN,False
591.73,409.00,Berlin,Paris,Refund,KRW,True
317.02,317.00,Mumbai,Seoul,Loan,RUB,False
615.69,975.00,Athens,Paris,Reimbursement,SEK,False
922.02,764.00,Dublin,Seoul,Refund,CNY,True
115.40,555.00,Berlin,Mumbai,Credit,JPY,True
73.02,230.00,Dublin,Moscow,Refund,SGD,False
80.32,208.00,Mexico City,Mexico City,Payment,MXN,False
642.67,733.00,Cape Town,Amsterdam,Deposit,NZD,False
381.61,341.00,Berlin,Sydney,Withdrawal,GBP,False
123.57,325.00,Helsinki,Seoul,Donation,RUB,False
210.37,145.00,Toronto,Paris,Withdrawal,MXN,False
625.25,678.00,Rio de Janeiro,Rio de Janeiro,Donation,INR,False
272.45,201.00,New York,Rome,Fee,RUB,False
1118.10,967.00,Berlin,Mumbai,Loan,CNY,True
162.21,359.00,Seoul,Toronto,Refund,ZAR,False
488.08,512.00,Seoul,Sydney,Purchase,AUD,False
288.00,435.00,Paris,Berlin,Credit,MXN,False
3365.39,641.00,Stockholm,Dubai,Refund,AUD,True
219.60,401.00,Toronto,Paris,Purchase,EUR,True
86.85,112.00,Toronto,London,Loan,TRY,True
394.47,370.00,Dubai,Paris,Exchange,CNY,False
46.77,153.00,Tokyo,Rio de Janeiro,Invoice,USD,False
2805.63,390.00,Helsinki,Toronto,Invoice,SGD,True
685.13,702.00,Tokyo,Mumbai,Subscription,SEK,False
1186.57,826.00,Helsinki,Toronto,Debit,INR,False
684.98,771.00,London,Paris,Purchase,TRY,True
183.90,359.00,Rome,Paris,Donation,KRW,False
520.63,850.00,Sydney,Tokyo,Transfer,TRY,True
337.22,324.00,Seoul,Rio de Janeiro,Reimbursement,NZD,False
1017.79,901.00,Amsterdam,Sydney,Fee,BRL,False
391.53,426.00,Paris,London,Refund,JPY,False
3095.46,625.00,Mexico City,Rio de Janeiro,Fee,GBP,True
457.20,798.00,Dubai,Mumbai,Debit,CHF,True
633.94,570.00,Rio de Janeiro,Seoul,Payment,NOK,False
50.26,743.00,New York,New York,Withdrawal,MXN,False
48.57,461.00,Toronto,Toronto,Purchase,NOK,False
312.75,316.00,Paris,Tokyo,Subscription,HKD,True
667.31,596.00,Seoul,Berlin,Refund,TRY,True
216.58,690.00,Toronto,Seoul,Transfer,HKD,False
276.42,196.00,Athens,London,Payment,AUD,False
2328.45,831.00,Berlin,Seoul,Loan,CAD,False
312.17,550.00,Cape Town,New York,Payment,RUB,False
491.73,416.00,Berlin,Berlin,Credit,KRW,True
110.03,813.00,Sydney,Stockholm,Debit,HKD,False
138.05,266.00,Athens,Rio de Janeiro,Exchange,EUR,False
499.12,356.00,Cape Town,Rio de Janeiro,Payment,JPY,False
286.86,265.00,Rio de Janeiro,London,Subscription,SEK,False
415.90,894.00,Seoul,Stockholm,Fee,BRL,False
111.29,310.00,Moscow,Paris,Donation,SGD,True
459.46,351.00,Athens,Moscow,Transfer,AUD,False
190.11,837.00,Tokyo,Mumbai,Payment,USD,False
591.46,526.00,Seoul,Cape Town,Exchange,HKD,False
227.78,179.00,Berlin,Amsterdam,Credit,HKD,False
805.70,146.00,Dublin,Dublin,Refund,BRL,False
2728.32,961.00,Tokyo,Moscow,Debit,ZAR,False
556.71,782.00,Berlin,Moscow,Loan,HKD,False
113.84,523.00,Mexico City,Paris,Credit,USD,False
184.50,655.00,Moscow,Helsinki,Refund,NZD,False
215.99,638.00,Rome,Mumbai,Invoice,CHF,True
54.56,316.00,Helsinki,Rome,Payment,CHF,False
839.94,735.00,Stockholm,Dublin,Donation,CHF,False
199.61,241.00,Tokyo,Toronto,Deposit,SEK,False
865.98,702.00,New York,Berlin,Reimbursement,BRL,False
666.95,541.00,Mumbai,Amsterdam,Subscription,JPY,False
140.30,462.00,Amsterdam,Sydney,Deposit,HKD,False
367.37,786.00,Seoul,Berlin,Withdrawal,CNY,False
452.24,445.00,Toronto,Amsterdam,Refund,HKD,False
2807.65,603.00,Athens,New York,Debit,NZD,True
238.13,846.00,New York,Helsinki,Transfer,AUD,False
178.39,784.00,Paris,Tokyo,Reimbursement,TRY,False
100.00,187.00,Stockholm,Dublin,Transfer,USD,False
699.10,467.00,Stockholm,New York,Subscription,BRL,False
546.38,851.00,Sydney,Dubai,Refund,CHF,True
130.36,375.00,Cape Town,Rome,Donation,GBP,False
377.59,878.00,Rio de Janeiro,Dublin,Invoice,EUR,False
158.32,342.00,Paris,Dublin,Deposit,RUB,False
1286.34,994.00,Toronto,Stockholm,Reimbursement,JPY,False
179.64,649.00,New York,Rome,Exchange,KRW,False
233.11,473.00,Mexico City,Sydney,Transfer,EUR,False
637.57,511.00,Rome,New York,Withdrawal,MXN,False
277.38,355.00,Cape Town,Cape Town,Debit,INR,True
1337.07,580.00,Paris,Paris,Withdrawal,BRL,False
904.72,596.00,Mexico City,Athens,Invoice,USD,False
5834.12,881.00,Sydney,Moscow,Exchange,NOK,True
991.10,734.00,Rome,Paris,Subscription,KRW,False
1413.00,546.00,Sydney,Cape Town,Reimbursement,EUR,False
545.73,716.00,Helsinki,Cape Town,Reimbursement,SGD,False
467.37,466.00,Dublin,Athens,Subscription,GBP,False
271.40,204.00,Moscow,Dubai,Debit,GBP,False
256.40,923.00,London,Toronto,Credit,ZAR,False
98.39,338.00,Sydney,Stockholm,Invoice,CNY,False
726.85,787.00,Tokyo,Rome,Debit,NZD,False
296.33,192.00,Stockholm,Amsterdam,Credit,NZD,False
214.79,562.00,Dublin,Helsinki,Invoice,JPY,False
202.61,407.00,Dubai,Dublin,Invoice,SGD,False
595.99,575.00,Berlin,New York,Fee,JPY,False
408.78,325.00,Cape Town,Seoul,Invoice,CNY,False
152.02,299.00,New York,Toronto,Exchange,CAD,False
1157.78,778.00,Cape Town,Moscow,Donation,ZAR,False
91.48,605.00,Dublin,Berlin,Debit,JPY,False
223.21,282.00,Mexico City,Mumbai,Loan,KRW,True
898.25,840.00,Mumbai,Dublin,Fee,SEK,False
484.19,572.00,Paris,Mexico City,Refund,GBP,False
1154.34,867.00,Sydney,Cape Town,Loan,NOK,False
745.34,566.00,Sydney,Cape Town,Exchange,CNY,False
1077.77,921.00,Amsterdam,Athens,Payment,GBP,False
609.06,742.00,Mumbai,Seoul,Reimbursement,NZD,False
485.12,386.00,Tokyo,Amsterdam,Purchase,CHF,True
667.01,553.00,Rio de Janeiro,Rio de Janeiro,Subscription,NZD,False
3342.20,976.00,Dubai,Sydney,Loan,SGD,True
236.09,424.00,Helsinki,Paris,Purchase,CAD,False
28.52,254.00,Sydney,London,Fee,CNY,False
1049.26,940.00,Mumbai,Toronto,Refund,NZD,True
642.07,927.00,New York,Berlin,Invoice,RUB,False
274.27,745.00,Helsinki,Dublin,Debit,TRY,False
600.34,405.00,Amsterdam,Amsterdam,Donation,BRL,False
415.16,707.00,Athens,Dublin,Debit,CAD,False
445.40,319.00,Toronto,Dubai,Debit,CHF,False
193.02,453.00,Sydney,Moscow,Subscription,USD,False
555.89,824.00,Athens,Berlin,Fee,CAD,False
1279.39,906.00,Dubai,Amsterdam,Donation,SEK,False
3816.70,711.00,Sydney,Moscow,Fee,SEK,True
26.70,178.00,Athens,Berlin,Credit,JPY,False
121.37,311.00,Moscow,Helsinki,Refund,CAD,False
111.84,434.00,Athens,Dublin,Fee,EUR,False
920.06,822.00,Dublin,Cape Town,Debit,NOK,False
294.50,911.00,Toronto,Dublin,Refund,AUD,False
206.70,893.00,Moscow,Toronto,Deposit,NZD,False
16.96,155.00,Mexico City,Mumbai,Invoice,NOK,True
612.73,734.00,Athens,Toronto,Donation,ZAR,False
662.34,883.00,Moscow,Dublin,Payment,HKD,False
129.70,184.00,London,Rome,Reimbursement,INR,False
70.81,179.00,Mexico City,Berlin,Subscription,SGD,False
291.28,950.00,Berlin,Mumbai,Refund,SGD,True
126.00,683.00,Tokyo,Rome,Payment,USD,False
180.26,178.00,Rome,Helsinki,Fee,USD,False
1124.74,855.00,Cape Town,London,Deposit,CHF,False
480.52,365.00,Rio de Janeiro,Amsterdam,Reimbursement,SGD,False
337.88,898.00,London,Amsterdam,Deposit,HKD,False
110.39,121.00,Amsterdam,Amsterdam,Exchange,NOK,False
294.29,418.00,New York,New York,Credit,GBP,False
202.32,552.00,Berlin,Berlin,Donation,CNY,False
87.37,163.00,Tokyo,Helsinki,Reimbursement,SGD,False
623.43,552.00,Dubai,Cape Town,Withdrawal,GBP,False
423.08,340.00,Mumbai,Stockholm,Invoice,JPY,False
35.45,121.00,Dublin,Amsterdam,Reimbursement,BRL,False
555.75,599.00,Mexico City,Amsterdam,Exchange,HKD,False
306.38,310.00,Sydney,Mumbai,Withdrawal,NZD,False
101.87,104.00,London,Mexico City,Debit,CNY,False
690.17,496.00,Dublin,New York,Loan,SGD,False
401.94,410.00,Mumbai,Dubai,Fee,JPY,False
200.63,223.00,Seoul,Athens,Purchase,CHF,True
711.44,475.00,Cape Town,Tokyo,Withdrawal,RUB,True
263.51,517.00,Amsterdam,Rio de Janeiro,Withdrawal,CHF,False
340.47,646.00,Tokyo,New York,Payment,AUD,False
811.17,643.00,Rome,Rome,Transfer,CNY,False
437.13,330.00,Rio de Janeiro,Moscow,Purchase,RUB,True
181.43,424.00,Berlin,Dublin,Loan,GBP,True
147.70,783.00,Helsinki,Sydney,Deposit,HKD,False
350.02,534.00,Dublin,Rio de Janeiro,Refund,BRL,False
80.43,884.00,Stockholm,Dublin,Reimbursement,GBP,False
1084.53,728.00,Athens,Athens,Subscription,MXN,False
71.83,235.00,London,Seoul,Invoice,CAD,False
20.95,348.00,Cape Town,Helsinki,Transfer,SGD,False
611.14,610.00,Seoul,Rome,Purchase,INR,True
91.27,567.00,Mexico City,Helsinki,Subscription,NZD,False
7.66,112.00,Berlin,Rio de Janeiro,Invoice,SEK,False
698.30,547.00,Seoul,Cape Town,Transfer,TRY,False
2.87,107.00,Mumbai,Athens,Purchase,AUD,False
268.27,620.00,Rome,Cape Town,Refund,JPY,False
874.28,736.00,Dublin,Dublin,Exchange,EUR,False
659.64,771.00,Athens,New York,Refund,KRW,True
3.80,116.00,Berlin,Dubai,Subscription,CAD,False
91.38,338.00,Dublin,Berlin,Deposit,JPY,False
146.25,203.00,Mumbai,Helsinki,Fee,SEK,False
572.87,437.00,Berlin,Cape Town,Withdrawal,RUB,True
54.02,135.00,Rio de Janeiro,Toronto,Fee,SGD,False
307.95,894.00,Paris,Paris,Purchase,MXN,False
667.32,639.00,Mexico City,Paris,Withdrawal,MXN,False
493.34,360.00,Mumbai,Amsterdam,Withdrawal,RUB,False
343.83,636.00,Berlin,Sydney,Loan,SGD,False
355.52,353.00,Toronto,London,Donation,CAD,False
98.44,323.00,Helsinki,Rio de Janeiro,Debit,TRY,False
92.90,307.00,Amsterdam,Mexico City,Refund,RUB,False
385.93,992.00,Stockholm,Seoul,Payment,HKD,False
319.58,306.00,Dubai,Stockholm,Refund,KRW,False
301.05,444.00,Seoul,Stockholm,Exchange,INR,False
173.31,782.00,Helsinki,Moscow,Withdrawal,TRY,False
219.24,183.00,Tokyo,Mumbai,Payment,USD,True
352.23,319.00,Cape Town,Toronto,Deposit,JPY,False
129.24,160.00,Athens,Stockholm,Deposit,ZAR,False
1315.97,311.00,Mexico City,Helsinki,Invoice,MXN,True
649.34,752.00,Berlin,Rio de Janeiro,Withdrawal,SGD,False
1265.80,848.00,Berlin,Berlin,Reimbursement,INR,False
952.29,910.00,Seoul,Seoul,Purchase,BRL,False
31.03,126.00,Sydney,Stockholm,Subscription,CAD,False
311.64,511.00,Toronto,Mexico City,Fee,CAD,False
379.65,404.00,Moscow,Mumbai,Exchange,CNY,False
2612.88,780.00,Athens,Athens,Fee,SGD,False
262.22,915.00,London,Seoul,Debit,INR,False
810.77,557.00,Rio de Janeiro,London,Refund,KRW,True
70.80,205.00,Dublin,Tokyo,Subscription,NOK,True
171.08,190.00,Rio de Janeiro,Paris,Invoice,ZAR,False
331.55,245.00,Toronto,Toronto,Fee,ZAR,False
102.07,162.00,Stockholm,Berlin,Loan,HKD,True
1269.89,866.00,Stockholm,Helsinki,Refund,SGD,True
138.70,141.00,Paris,Toronto,Credit,INR,False
41.17,273.00,Mexico City,Rio de Janeiro,Loan,JPY,True
1291.41,931.00,Sydney,Amsterdam,Deposit,CAD,False
623.89,727.00,Stockholm,Helsinki,Reimbursement,KRW,False
529.46,701.00,Seoul,Athens,Exchange,MXN,False
36.15,152.00,Toronto,Moscow,Purchase,NZD,True
683.31,985.00,Dubai,Seoul,Purchase,AUD,True
101.47,109.00,Seoul,Rome,Reimbursement,CAD,False
606.72,963.00,Mumbai,Berlin,Reimbursement,INR,False
319.13,395.00,Athens,Rio de Janeiro,Payment,ZAR,False
282.39,496.00,Seoul,Berlin,Subscription,NZD,False
1159.78,973.00,Athens,Rio de Janeiro,Invoice,ZAR,False
338.98,395.00,Mexico City,Berlin,Credit,MXN,False
177.65,830.00,Dublin,Helsinki,Donation,KRW,False
164.27,143.00,Rio de Janeiro,Rio de Janeiro,Donation,INR,False
421.23,439.00,Athens,Cape Town,Reimbursement,NZD,False
648.77,686.00,London,London,Deposit,SGD,False
69.35,294.00,Toronto,Tokyo,Payment,KRW,True
686.52,814.00,Paris,Rome,Exchange,CNY,False
412.89,325.00,Berlin,Mexico City,Transfer,USD,False
170.20,744.00,Helsinki,London,Reimbursement,EUR,False
666.84,546.00,Paris,Moscow,Subscription,JPY,False
270.22,570.00,Athens,Berlin,Payment,RUB,False
24.47,725.00,Rome,Seoul,Payment,JPY,False
152.18,905.00,Seoul,Dublin,Subscription,SEK,False
102.22,415.00,Tokyo,New York,Subscription,EUR,False
1165.90,977.00,Mumbai,Cape Town,Withdrawal,TRY,False
489.96,757.00,Cape Town,Berlin,Payment,BRL,False
11.43,139.00,Athens,Toronto,Exchange,HKD,False
16.22,118.00,Cape Town,London,Deposit,AUD,False
21.68,333.00,Paris,Rio de Janeiro,Loan,RUB,True
268.36,378.00,Rio de Janeiro,Moscow,Purchase,HKD,True
452.41,588.00,Tokyo,Berlin,Invoice,HKD,False
32.08,213.00,Tokyo,Tokyo,Credit,NZD,False
0.04,238.00,Sydney,Helsinki,Debit,NZD,False
245.40,299.00,Moscow,Seoul,Withdrawal,RUB,False
335.69,678.00,Amsterdam,Helsinki,Subscription,TRY,False
197.48,378.00,Dubai,Athens,Loan,CNY,True
219.18,158.00,Sydney,Toronto,Invoice,HKD,False
47.84,155.00,Mexico City,Rome,Withdrawal,CHF,False
1117.88,775.00,Mumbai,Toronto,Deposit,TRY,False
447.00,643.00,Moscow,Rio de Janeiro,Loan,GBP,False
116.38,138.00,Stockholm,New York,Subscription,CAD,False
259.46,281.00,Stockholm,Tokyo,Transfer,KRW,True
142.79,923.00,Stockholm,New York,Transfer,EUR,False
274.37,306.00,Cape Town,Moscow,Reimbursement,GBP,False
37.28,132.00,Rio de Janeiro,Berlin,Exchange,CHF,False
336.64,227.00,Stockholm,Stockholm,Fee,CAD,False
1389.02,929.00,Rome,Cape Town,Transfer,NOK,False
364.71,884.00,Rome,Toronto,Credit,AUD,False
458.55,255.00,Amsterdam,Mumbai,Debit,HKD,True
213.76,486.00,Athens,Sydney,Refund,CHF,False
1161.30,156.00,New York,Dubai,Transfer,NOK,True
165.85,341.00,Mumbai,Seoul,Invoice,TRY,False
249.79,361.00,Amsterdam,Moscow,Payment,INR,False
806.41,839.00,Mumbai,Moscow,Withdrawal,INR,False
133.05,182.00,Dubai,Paris,Refund,INR,False
764.43,585.00,Helsinki,Seoul,Loan,INR,False
165.87,133.00,Paris,Helsinki,Donation,SGD,False
554.18,390.00,Mexico City,Paris,Purchase,MXN,True
233.94,249.00,Amsterdam,Sydney,Withdrawal,MXN,False
248.63,659.00,Dublin,Rio de Janeiro,Invoice,USD,False
316.84,376.00,London,Berlin,Loan,NZD,False
209.12,651.00,Athens,Rome,Purchase,GBP,True
407.62,617.00,Sydney,Tokyo,Exchange,NZD,False
211.59,330.00,Helsinki,Moscow,Debit,AUD,False
312.49,345.00,Dublin,Berlin,Fee,GBP,False
335.14,548.00,Mexico City,Dublin,Donation,CHF,False
379.81,811.00,Rio de Janeiro,Helsinki,Invoice,AUD,False
646.98,524.00,Dublin,Toronto,Refund,GBP,True
70.80,982.00,Seoul,Athens,Credit,INR,False
616.28,642.00,Rome,Rio de Janeiro,Debit,ZAR,False
465.67,714.00,Mumbai,Helsinki,Invoice,INR,False
107.55,349.00,Seoul,Cape Town,Purchase,AUD,True
393.48,601.00,Mumbai,Rome,Payment,MXN,False
507.24,405.00,Paris,Mumbai,Invoice,NOK,False
535.83,654.00,Cape Town,Stockholm,Invoice,SGD,False
1426.48,479.00,Amsterdam,Cape Town,Purchase,CNY,True
50.90,256.00,London,New York,Deposit,EUR,False
219.25,184.00,Berlin,Seoul,Subscription,RUB,False
4298.73,855.00,Mumbai,Berlin,Invoice,EUR,True
790.57,536.00,Berlin,Mexico City,Subscription,ZAR,False
113.86,994.00,New York,Mexico City,Debit,GBP,False
766.76,611.00,Helsinki,Amsterdam,Deposit,SEK,False
1291.46,887.00,Berlin,Cape Town,Invoice,NOK,False
13.71,154.00,Rome,Dublin,Fee,RUB,False
2855.14,415.00,Tokyo,Berlin,Payment,EUR,True
169.35,170.00,Stockholm,Sydney,Subscription,SGD,False
14.55,268.00,Mexico City,Toronto,Donation,RUB,False
364.21,431.00,Berlin,Mexico City,Refund,JPY,False
710.35,881.00,Mexico City,New York,Credit,TRY,False
157.66,209.00,Amsterdam,Rome,Transfer,TRY,False
270.03,312.00,Paris,Amsterdam,Invoice,ZAR,False
498.71,462.00,Tokyo,London,Fee,CAD,False
1150.65,916.00,Amsterdam,Sydney,Subscription,TRY,False
840.29,824.00,Dubai,Moscow,Credit,CHF,False
70.81,579.00,Sydney,London,Reimbursement,NOK,False
176.08,133.00,Mexico City,Sydney,Donation,RUB,False
162.47,252.00,Paris,Tokyo,Reimbursement,CAD,False
2.18,199.00,New York,Dubai,Subscription,HKD,False
295.77,277.00,Moscow,Athens,Loan,TRY,True
260.77,992.00,Berlin,Helsinki,Donation,INR,False
123.00,127.00,Cape Town,London,Donation,INR,False
155.97,715.00,Seoul,Mexico City,Withdrawal,CNY,False
681.19,594.00,Amsterdam,Sydney,Payment,NOK,False
452.80,362.00,Athens,Paris,Refund,SEK,False
43.71,182.00,Rome,Tokyo,Deposit,HKD,True
389.89,431.00,Helsinki,New York,Transfer,SEK,False
451.91,364.00,New York,Seoul,Reimbursement,RUB,False
756.52,630.00,Sydney,Cape Town,Payment,NOK,False
896.54,781.00,Helsinki,Mexico City,Transfer,ZAR,False
546.14,753.00,Tokyo,Moscow,Invoice,BRL,False
24.95,442.00,Paris,Rio de Janeiro,Invoice,CAD,False
173.04,864.00,Dubai,Toronto,Reimbursement,SGD,False
236.41,193.00,Sydney,Sydney,Debit,HKD,False
451.94,663.00,Paris,Berlin,Deposit,CNY,False
35.90,763.00,Berlin,New York,Loan,CHF,True
322.85,430.00,Rome,Berlin,Deposit,INR,False
717.13,635.00,Dublin,Rome,Purchase,CAD,True
739.23,944.00,Berlin,New York,Invoice,CAD,False
521.89,298.00,Berlin,Mexico City,Withdrawal,SGD,False
78.57,587.00,Moscow,Paris,Loan,NZD,True
822.18,620.00,Amsterdam,Cape Town,Debit,AUD,False
671.95,525.00,Rome,Dubai,Invoice,BRL,False
599.92,806.00,Cape Town,Paris,Deposit,SGD,False
934.26,671.00,Cape Town,Mexico City,Deposit,JPY,False
155.59,160.00,Sydney,Sydney,Payment,NZD,False
87.46,250.00,Stockholm,Seoul,Subscription,NOK,False
406.48,349.00,Helsinki,Dublin,Payment,SGD,False
169.40,175.00,Dublin,Tokyo,Debit,CAD,True
197.49,592.00,Amsterdam,Paris,Donation,TRY,False
1069.14,894.00,Berlin,New York,Reimbursement,BRL,False
1454.66,991.00,London,Berlin,Withdrawal,INR,False
56.31,285.00,Dubai,Tokyo,Donation,NOK,False
360.95,409.00,Sydney,Rio de Janeiro,Transfer,EUR,False
2368.52,574.00,Helsinki,Mumbai,Invoice,CAD,True
249.04,292.00,Mumbai,Rio de Janeiro,Exchange,CNY,False
475.44,422.00,Toronto,Tokyo,Loan,EUR,True
191.77,270.00,Cape Town,Athens,Purchase,SGD,True
27.41,992.00,Mexico City,Seoul,Fee,NOK,False
1002.61,926.00,Athens,Mexico City,Loan,NZD,False
279.34,788.00,Sydney,Seoul,Withdrawal,INR,False
247.09,475.00,Dubai,Mumbai,Debit,CAD,False
2006.36,523.00,Mumbai,Amsterdam,Withdrawal,CNY,True
268.66,785.00,Stockholm,Rome,Subscription,JPY,False
712.14,954.00,Tokyo,Paris,Debit,CAD,False
115.59,682.00,Mumbai,Rio de Janeiro,Payment,GBP,False
154.96,645.00,Cape Town,Rio de Janeiro,Subscription,JPY,False
716.50,597.00,Toronto,Mexico City,Payment,CAD,False
368.87,819.00,Stockholm,Sydney,Purchase,SGD,True
129.89,121.00,Rio de Janeiro,Amsterdam,Transfer,TRY,False
1043.12,904.00,Mumbai,Mexico City,Debit,KRW,False
423.12,512.00,Paris,Athens,Invoice,CNY,False
538.94,387.00,Seoul,Sydney,Invoice,CHF,False
587.04,565.00,Toronto,Berlin,Credit,KRW,False
61.60,104.00,Tokyo,Toronto,Purchase,MXN,False
416.79,590.00,Moscow,London,Fee,EUR,False
700.28,499.00,Rome,New York,Payment,NOK,False
13.93,114.00,Paris,Toronto,Loan,EUR,True
412.37,356.00,Stockholm,Paris,Purchase,KRW,True
228.08,392.00,Amsterdam,Rio de Janeiro,Purchase,ZAR,True
78.98,256.00,Helsinki,Dublin,Subscription,JPY,False
414.53,596.00,Berlin,Stockholm,Payment,CNY,False
699.32,694.00,Sydney,Sydney,Purchase,USD,False
149.27,325.00,Rio de Janeiro,Berlin,Exchange,USD,False
170.91,913.00,London,Athens,Invoice,RUB,True
1041.87,894.00,Seoul,Paris,Debit,KRW,False
2850.98,831.00,Rio de Janeiro,New York,Withdrawal,MXN,True
293.08,224.00,Toronto,Athens,Credit,GBP,False
525.03,406.00,Dubai,Cape Town,Refund,MXN,True
63.87,668.00,Sydney,Dubai,Deposit,RUB,False
671.70,609.00,Stockholm,Mexico City,Donation,AUD,False
184.68,126.00,Moscow,Mexico City,Subscription,CAD,True
680.45,751.00,Helsinki,Moscow,Purchase,CAD,True
213.89,562.00,Rio de Janeiro,Toronto,Withdrawal,TRY,False
731.62,493.00,Tokyo,Paris,Purchase,CNY,True
363.14,370.00,Berlin,Berlin,Subscription,CHF,False
4891.91,678.00,Rio de Janeiro,Mexico City,Loan,CAD,True
251.84,462.00,Rome,Sydney,Donation,CHF,False
424.58,766.00,Amsterdam,Dublin,Debit,NOK,False
16.85,792.00,Berlin,Toronto,Loan,SEK,True
144.02,128.00,Amsterdam,New York,Donation,INR,False
319.62,224.00,Rio de Janeiro,Helsinki,Purchase,CHF,True
509.35,629.00,Moscow,Cape Town,Debit,MXN,False
1232.23,862.00,Dublin,London,Loan,RUB,False
136.21,510.00,Cape Town,Mumbai,Deposit,SEK,True
784.95,640.00,Toronto,Moscow,Debit,RUB,False
583.63,831.00,Berlin,Mumbai,Loan,USD,True
497.42,617.00,Dublin,Tokyo,Exchange,TRY,True
315.96,495.00,Berlin,Mumbai,Transfer,INR,False
94.34,967.00,Paris,Dublin,Debit,CNY,False
44.49,688.00,Amsterdam,Amsterdam,Reimbursement,INR,False
1015.28,730.00,Seoul,Tokyo,Payment,CAD,True
724.25,631.00,Dubai,Sydney,Debit,SEK,False
280.48,943.00,Cape Town,Helsinki,Reimbursement,CHF,False
188.30,283.00,New York,Amsterdam,Debit,NOK,False
697.60,107.00,Toronto,Stockholm,Refund,BRL,True
779.38,998.00,Rome,Amsterdam,Credit,CNY,True
680.52,655.00,Paris,Rio de Janeiro,Donation,CNY,False
48.54,388.00,Helsinki,New York,Reimbursement,USD,False
1281.77,982.00,Rio de Janeiro,Amsterdam,Exchange,NZD,False
449.68,521.00,Cape Town,Dublin,Loan,INR,False
314.11,244.00,Rome,Berlin,Donation,HKD,False
182.48,948.00,Moscow,Helsinki,Donation,SGD,False
1508.01,531.00,Seoul,Rome,Reimbursement,SEK,False
190.33,166.00,Moscow,London,Invoice,SEK,False
869.87,890.00,Toronto,Rome,Refund,HKD,True
136.61,161.00,Moscow,Cape Town,Donation,SGD,False
47.41,200.00,Helsinki,Tokyo,Debit,INR,True
364.62,467.00,Cape Town,Cape Town,Debit,MXN,False
1183.32,799.00,Mexico City,Cape Town,Deposit,JPY,False
805.51,625.00,Dublin,Toronto,Invoice,RUB,False
904.36,757.00,Rome,Stockholm,Loan,CAD,False
486.38,968.00,Mumbai,Cape Town,Subscription,TRY,False
608.16,423.00,Tokyo,Tokyo,Invoice,TRY,True
