TransactionAmount,AverageTransactionAmount,CustomerLocation,RecipientLocation,TransactionType,CurrencyType,Timestamp,RiskLabel
6372.98,4860.86,Australia,Turkmenistan,Withdrawal,INR,2025-01-01 00:00:00,1

4098.83,3145.02,Burkina Faso,Pakistan,Check Withdrawal,USD,2025-01-01 00:00:00,1

3477.65,2549.22,Kosovo,France,ATM Withdrawal,TRY,2025-01-01 00:00:00,1

2205.47,1549.1,Slovakia,France,Foreign Currency Exchange,CLP,2025-01-01 00:00:00,1

17055.21,13550.03,Marshall Islands,Korea, North,External Transfer,CNY,2025-01-01 00:00:00,1

14913.54,8705.99,Tuvalu,Korea, North,Refund,NZD,2025-01-01 00:00:00,1

11984.27,7199.49,Central African Republic,Saint Kitts and Nevis,Deposit,CLP,2025-01-01 00:00:00,1

7341.17,4902.93,Korea, North,Congo, Republic of the,Direct Debit,PHP,2025-01-01 00:00:00,1

14573.26,11297.2,Poland,Ethiopia,Check Deposit,RON,2025-01-01 00:00:00,1

10815.41,9218.69,Azerbaijan,Guinea-Bissau,Check Deposit,CNY,2025-01-01 00:00:00,1

13108.23,8737.56,Korea, North,Bahrain,Interest Credit,GBP,2025-01-01 00:00:00,1

1300.89,1014.01,Brazil,Germany,Reversal,RON,2025-01-01 00:00:00,0

8612.69,6844.87,Estonia,Sri Lanka,Standing Order,CNY,2025-01-01 00:00:00,1

19732.88,8193.2,Djibouti,Madagascar,Refund,GBP,2025-01-01 00:00:00,1

17560.79,11714.98,Sweden,Bosnia and Herzegovina,Batch Payment,CHF,2025-01-01 00:00:00,1

116.6,51.0,Solomon Islands,Mexico,Interest Debit,ILS,2025-01-01 00:00:00,0

10212.3,6153.37,Togo,East Timor (Timor-Leste),Gift Card Purchase,KRW,2025-01-01 00:00:00,1

15871.99,12799.91,Zimbabwe,Uzbekistan,Online Transfer,EUR,2025-01-01 00:00:00,1

9889.9,4664.99,Colombia,Solomon Islands,Point of Sale (POS) Purchase,CNY,2025-01-01 00:00:00,1

14608.03,8330.64,Colombia,Ghana,Fee Charge,ILS,2025-01-01 00:00:00,1

14633.94,11863.77,Spain,Guinea,Point of Sale (POS) Purchase,INR,2025-01-01 00:00:00,1

14581.7,7832.57,Macedonia,Burkina Faso,Salary Payment,CZK,2025-01-01 00:00:00,1

2503.8,1068.16,Ecuador,Serbia,Reversal,RON,2025-01-01 00:00:00,1

7762.86,6421.53,Armenia,Serbia,External Transfer,THB,2025-01-01 00:00:00,1

9779.88,5215.8,Norway,Greece,Interest Debit,IDR,2025-01-01 00:00:00,1

10162.01,5493.33,Uruguay,Egypt,Interest Credit,AUD,2025-01-01 00:00:00,1

15672.53,12567.64,Korea, North,Angola,Foreign Remittance,THB,2025-01-01 00:00:00,1

9691.49,4239.26,Slovenia,Solomon Islands,Wire Transfer,AUD,2025-01-01 00:00:00,1

12453.09,11013.36,Thailand,Micronesia, Federated States of,Reversal,CLP,2025-01-01 00:00:00,1

11060.8,7826.6,Burkina Faso,Saint Lucia,Card Payment,THB,2025-01-01 00:00:00,1

13279.1,5629.84,Guyana,Saint Kitts and Nevis,International Transfer,INR,2025-01-01 00:00:00,1

775.52,625.53,Poland,Ukraine,Interest Credit,AUD,2025-01-01 00:00:00,0

6080.59,4083.5,Macedonia,Liberia,Deposit,THB,2025-01-01 00:00:00,1

13253.09,6072.4,Ukraine,Burkina Faso,Bill Payment,NZD,2025-01-01 00:00:00,1

2765.14,1413.93,Azerbaijan,Bangladesh,Internal Transfer,NZD,2025-01-01 00:00:00,1

17130.95,8494.6,France,Samoa,Gift Card Purchase,SGD,2025-01-01 00:00:00,1

165.17,86.95,Netherlands,Bulgaria,Internal Transfer,NOK,2025-01-01 00:00:00,0

15.17,11.84,Somalia,Kiribati,Credit Card Payment,NOK,2025-01-01 00:00:00,0

7191.28,5056.37,Uzbekistan,Rwanda,Fee Charge,KRW,2025-01-01 00:00:00,1

17158.22,8932.37,Samoa,Mauritania,Gift Card Purchase,CAD,2025-01-01 00:00:00,1

13301.44,10831.26,Gabon,Bulgaria,Merchant Settlement,MYR,2025-01-01 00:00:00,1

18648.42,14144.95,El Salvador,Saint Vincent and the Grenadines,Foreign Remittance,NOK,2025-01-01 00:00:00,1

11603.26,8460.49,Kazakhstan,Italy,Debit Card Payment,PHP,2025-01-01 00:00:00,1

10929.06,4913.65,Indonesia,Kuwait,Reversal,NOK,2025-01-01 00:00:00,1

19688.94,13941.67,Australia,Iran,Credit Card Payment,ZAR,2025-01-01 00:00:00,1

14424.14,7792.51,Qatar,Turkey,Gift Card Purchase,BRL,2025-01-01 00:00:00,1

3625.82,2598.09,Peru,Malta,ATM Withdrawal,TWD,2025-01-01 00:00:00,1

409.47,353.61,Somalia,Oman,Check Deposit,SAR,2025-01-01 00:00:00,0

2883.53,2541.68,Bulgaria,Iceland,Loan Payment,RUB,2025-01-01 00:00:00,1

15864.03,7114.34,Russia,Congo, Democratic Republic of the,Check Withdrawal,CLP,2025-01-01 00:00:00,1

11049.85,9860.59,Swaziland,Saint Lucia,Online Transfer,AUD,2025-01-01 00:00:00,1

12764.25,10257.42,Georgia,Guinea,Credit Card Payment,NZD,2025-01-01 00:00:00,1

6565.98,2750.93,Armenia,Malawi,Credit Card Payment,CZK,2025-01-01 00:00:00,1

16758.18,7804.68,Kosovo,Vanuatu,ATM Withdrawal,CZK,2025-01-01 00:00:00,1

9939.82,6497.98,New Zealand,Germany,ATM Withdrawal,SEK,2025-01-01 00:00:00,1

7915.32,3585.6,Mozambique,Egypt,Wire Transfer,IDR,2025-01-01 00:00:00,1

15652.58,9263.11,El Salvador,Burkina Faso,Gift Card Purchase,SEK,2025-01-01 00:00:00,1

3897.72,2980.98,Kiribati,Kyrgyzstan,Loan Payment,RON,2025-01-01 00:00:00,1

15862.67,7546.48,Sudan,Somalia,Direct Debit,MXN,2025-01-01 00:00:00,1

18291.27,15042.45,Cambodia,India,ATM Withdrawal,USD,2025-01-01 00:00:00,1

7634.95,5789.1,Honduras,Nepal,Fee Charge,NOK,2025-01-01 00:00:00,1

2441.33,1848.99,Switzerland,Moldova,Standing Order,CHF,2025-01-01 00:00:00,1

2249.2,1592.47,Vanuatu,Cape Verde,Foreign Currency Exchange,GBP,2025-01-01 00:00:00,1

17915.87,9415.18,Iraq,South Sudan,External Transfer,PLN,2025-01-01 00:00:00,1

15463.23,13270.07,Russia,Sweden,Cash Advance,THB,2025-01-01 00:00:00,1

17837.68,12850.38,Nepal,Cape Verde,Reversal,HKD,2025-01-01 00:00:00,1

14548.64,10007.17,Sri Lanka,Germany,Mobile Payment,NZD,2025-01-01 00:00:00,1

8005.26,3655.26,Nepal,Cyprus,Standing Order,DKK,2025-01-01 00:00:00,1

1246.93,1114.76,El Salvador,Bosnia and Herzegovina,Salary Payment,THB,2025-01-01 00:00:00,0

1196.07,617.14,Cape Verde,Namibia,Deposit,ZAR,2025-01-01 00:00:00,0

4982.63,3381.21,Iceland,Benin,Interest Debit,TRY,2025-01-01 00:00:00,1
13865.76,9151.59,Korea, South,Djibouti,Batch Payment,INR,2025-01-01 00:00:00,1

7907.64,3814.07,Ecuador,Mauritania,Withdrawal,IDR,2025-01-01 00:00:00,1

7261.08,3025.55,Brazil,Lithuania,Subscription Payment,CAD,2025-01-01 00:00:00,1

7485.18,3776.04,Kiribati,Kiribati,Deposit,HKD,2025-01-01 00:00:00,0

2729.77,1505.37,Switzerland,Kenya,Mortgage Payment,CLP,2025-01-01 00:00:00,1

7384.41,5682.09,Brazil,Philippines,Mortgage Payment,CHF,2025-01-01 00:00:00,1

14116.11,5711.92,Armenia,Sri Lanka,Bill Payment,INR,2025-01-01 00:00:00,1

18041.6,14551.21,Rwanda,Rwanda,Standing Order,AED,2025-01-01 00:00:00,0

2460.07,1646.93,Jamaica,Papua New Guinea,ATM Deposit,TRY,2025-01-01 00:00:00,1

3191.84,2372.33,Botswana,Ireland,ATM Withdrawal,MXN,2025-01-01 00:00:00,1

3017.71,2085.86,Gabon,Tunisia,Gift Card Purchase,IDR,2025-01-01 00:00:00,1

18549.82,16347.71,Germany,Suriname,Internal Transfer,CHF,2025-01-01 00:00:00,1

16550.85,12195.55,Palau,Mozambique,Cash Advance,THB,2025-01-01 00:00:00,1

17754.36,13364.94,Somalia,Togo,Deposit,IDR,2025-01-01 00:00:00,1

9810.24,7843.94,Syria,Liechtenstein,Card Payment,ILS,2025-01-01 00:00:00,1

2343.34,1393.5,Comoros,Korea, North,Subscription Payment,RON,2025-01-01 00:00:00,1

3146.44,1330.9,Czech Republic,The Bahamas,Foreign Currency Exchange,NZD,2025-01-01 00:00:00,1

15315.76,8402.82,Fiji,Honduras,Foreign Remittance,RUB,2025-01-01 00:00:00,1

17478.09,7864.29,Bhutan,Norway,Card Payment,CLP,2025-01-01 00:00:00,1

10427.83,6260.3,Guatemala,Morocco,Insurance Payment,SEK,2025-01-01 00:00:00,1

10604.59,8821.22,Ecuador,Guatemala,Check Withdrawal,CLP,2025-01-01 00:00:00,1

16693.44,8479.1,Panama,Venezuela,Salary Payment,TRY,2025-01-01 00:00:00,1

1821.32,1459.57,Bolivia,Sri Lanka,Online Transfer,DKK,2025-01-01 00:00:00,0

13273.19,9642.46,Mongolia,Armenia,Credit Card Payment,USD,2025-01-01 00:00:00,1

11965.94,9809.61,Sri Lanka,Azerbaijan,Mortgage Payment,NZD,2025-01-01 00:00:00,1

18410.31,9882.45,Uganda,Madagascar,P2P Transfer,INR,2025-01-01 00:00:00,1

15206.24,10490.67,Kiribati,Lithuania,Reversal,JPY,2025-01-01 00:00:00,1

7125.94,3369.43,Senegal,Mauritius,Bill Payment,HUF,2025-01-01 00:00:00,1

796.36,598.28,Malta,Uzbekistan,Bill Payment,MYR,2025-01-01 00:00:00,0

16880.41,8547.83,Luxembourg,Ecuador,Interest Debit,RON,2025-01-01 00:00:00,1

7803.78,3353.43,Zimbabwe,United Kingdom,ATM Withdrawal,AUD,2025-01-01 00:00:00,1

19037.5,16074.56,Qatar,India,Direct Debit,NOK,2025-01-01 00:00:00,1

17152.67,10834.8,Greece,Dominica,P2P Transfer,THB,2025-01-01 00:00:00,1

10304.98,7610.01,Central African Republic,South Sudan,Insurance Payment,USD,2025-01-01 00:00:00,1

19900.41,16219.12,Kosovo,Thailand,Salary Payment,MXN,2025-01-01 00:00:00,1

18703.99,14484.27,Marshall Islands,Mauritania,Foreign Remittance,DKK,2025-01-01 00:00:00,1

12754.13,8014.13,Kazakhstan,Egypt,Standing Order,INR,2025-01-01 00:00:00,1

5078.43,2269.93,Bangladesh,Mauritania,Wire Transfer,HUF,2025-01-01 00:00:00,1

8302.75,5939.24,Liberia,Montenegro,Bill Payment,THB,2025-01-01 00:00:00,1

3740.4,2692.14,Vietnam,Nigeria,Card Payment,HUF,2025-01-01 00:00:00,1

10069.06,4894.4,Switzerland,Nepal,ATM Withdrawal,SAR,2025-01-01 00:00:00,1

8353.21,3489.57,Indonesia,Nepal,ATM Deposit,HKD,2025-01-01 00:00:00,1

4721.72,3379.08,Malta,Cuba,Debit Card Payment,EUR,2025-01-01 00:00:00,1

10205.43,5876.85,Jamaica,United States of America,Interest Debit,SGD,2025-01-01 00:00:00,1

1643.11,904.62,Central African Republic,Macedonia,Mortgage Payment,DKK,2025-01-01 00:00:00,0

14056.29,10688.36,Zambia,San Marino,Debit Card Payment,SGD,2025-01-01 00:00:00,1

8034.77,5497.78,Thailand,Ukraine,Debit Card Payment,PHP,2025-01-01 00:00:00,1

18896.77,16034.41,Moldova,Liberia,Batch Payment,ILS,2025-01-01 00:00:00,1

14162.22,8242.15,Kiribati,Saint Lucia,Wire Transfer,MXN,2025-01-01 00:00:00,1

1476.72,682.48,Ireland,Qatar,Reversal,BRL,2025-01-01 00:00:00,0

14290.26,6555.22,Mexico,Sweden,Gift Card Purchase,CNY,2025-01-01 00:00:00,1

15520.75,9074.9,Cape Verde,Burundi,Subscription Payment,COP,2025-01-01 00:00:00,1

14738.9,9880.13,Peru,Grenada,Debit Card Payment,TRY,2025-01-01 00:00:00,1

5196.19,2963.05,Vanuatu,Somalia,Fee Charge,NZD,2025-01-01 00:00:00,1

2516.51,1749.03,Monaco,Sudan,Foreign Remittance,SEK,2025-01-01 00:00:00,1

16132.73,11123.43,San Marino,Tunisia,Fee Charge,PLN,2025-01-01 00:00:00,1

9048.97,4248.23,Botswana,Italy,ATM Withdrawal,NZD,2025-01-01 00:00:00,1

4209.02,3316.98,Maldives,Lebanon,Top-up,NZD,2025-01-01 00:00:00,1

546.08,386.59,United Kingdom,Vanuatu,Top-up,SGD,2025-01-01 00:00:00,0

14635.48,7575.24,Comoros,Angola,Standing Order,IDR,2025-01-01 00:00:00,1

11920.73,6558.28,Guyana,Singapore,Standing Order,USD,2025-01-01 00:00:00,1

13769.44,10263.47,Mexico,Macedonia,P2P Transfer,KRW,2025-01-01 00:00:00,1

2319.94,1553.04,Haiti,Andorra,Online Transfer,KRW,2025-01-01 00:00:00,1

1963.71,1536.59,Denmark,Ethiopia,External Transfer,TWD,2025-01-01 00:00:00,0

19697.84,16531.91,Fiji,Madagascar,Deposit,INR,2025-01-01 00:00:00,1

16172.75,10503.81,Jordan,Guinea-Bissau,Cash Advance,SEK,2025-01-01 00:00:00,1

16154.62,12556.94,Fiji,Iceland,Debit Card Payment,CLP,2025-01-01 00:00:00,1

10212.58,6652.13,Saudi Arabia,Malta,Standing Order,SAR,2025-01-01 00:00:00,1

332.1,209.4,Chad,Liechtenstein,Fee Charge,CHF,2025-01-01 00:00:00,0

15382.52,7117.3,Burundi,The Bahamas,Fee Charge,AUD,2025-01-01 00:00:00,1

16563.55,9755.9,Iceland,Samoa,Batch Payment,SAR,2025-01-01 00:00:00,1

6181.37,4081.72,Antigua and Barbuda,Tanzania,Interest Credit,CAD,2025-01-01 00:00:00,1

2345.01,1141.59,Mozambique,Seychelles,Foreign Remittance,SAR,2025-01-01 00:00:00,1

15089.01,11063.9,Nigeria,Zimbabwe,Prepaid Card Load,TWD,2025-01-01 00:00:00,1

18525.53,14649.91,Nepal,Togo,Internal Transfer,AED,2025-01-01 00:00:00,1

11046.86,7048.83,Azerbaijan,Djibouti,Cash Advance,GBP,2025-01-01 00:00:00,1

4063.67,2666.18,Czech Republic,Italy,Card Payment,SEK,2025-01-01 00:00:00,1

16607.36,8716.64,Finland,Senegal,Mobile Payment,USD,2025-01-01 00:00:00,1

3253.93,2348.81,Mauritania,Peru,Insurance Payment,PHP,2025-01-01 00:00:00,1

17049.57,6902.94,Korea, South,Congo, Republic of the,Mobile Payment,AED,2025-01-01 00:00:00,1

12976.9,9455.0,Chile,Vanuatu,Foreign Remittance,HUF,2025-01-01 00:00:00,1

7778.14,3213.6,Burkina Faso,Marshall Islands,Batch Payment,RUB,2025-01-01 00:00:00,1

12270.6,5501.51,Slovenia,Kuwait,ATM Withdrawal,ZAR,2025-01-01 00:00:00,1

19538.04,15230.31,Philippines,Georgia,Mortgage Payment,INR,2025-01-01 00:00:00,1

19215.6,9368.3,Brunei,Bahrain,Reversal,CZK,2025-01-01 00:00:00,1

13008.23,11074.04,Chile,Kyrgyzstan,Subscription Payment,AED,2025-01-01 00:00:00,1

5278.45,4534.97,Taiwan,Turkey,Point of Sale (POS) Purchase,PLN,2025-01-01 00:00:00,1

2967.73,2562.79,Luxembourg,Liberia,Cash Advance,TWD,2025-01-01 00:00:00,1

11950.94,9349.07,The Gambia,Lithuania,Prepaid Card Load,IDR,2025-01-01 00:00:00,1

14317.42,6586.17,Vanuatu,Panama,Top-up,CNY,2025-01-01 00:00:00,1

12838.73,6043.63,Korea, South,Burkina Faso,Wire Transfer,EUR,2025-01-01 00:00:00,1

9345.39,6323.88,Niger,Argentina,Check Withdrawal,SAR,2025-01-01 00:00:00,1

15875.97,13481.4,Cambodia,Benin,Batch Payment,TWD,2025-01-01 00:00:00,1

8486.9,5529.11,Sri Lanka,Hungary,International Transfer,ILS,2025-01-01 00:00:00,1

13516.78,6669.45,Sri Lanka,Equatorial Guinea,Wire Transfer,HKD,2025-01-01 00:00:00,1

15442.12,10890.67,Pakistan,Syria,Subscription Payment,DKK,2025-01-01 00:00:00,1

11083.56,7202.31,Swaziland,Paraguay,Fee Charge,RON,2025-01-01 00:00:00,1

2937.26,2528.84,United Kingdom,Honduras,Gift Card Purchase,TRY,2025-01-01 00:00:00,1

16308.38,10022.2,Guyana,Portugal,Interest Credit,CLP,2025-01-01 00:00:00,1

1908.64,1711.03,Congo, Republic of the,Paraguay,Check Deposit,PHP,2025-01-01 00:00:00,0
11814.72,9374.7,Burkina Faso,Solomon Islands,Withdrawal,JPY,2025-01-01 00:00:00,1

19970.1,14911.3,Botswana,Maldives,External Transfer,CAD,2025-01-01 00:00:00,1

3900.85,3413.39,Bulgaria,Netherlands,Standing Order,SAR,2025-01-01 00:00:00,1

12770.39,10569.46,Macedonia,Tuvalu,Point of Sale (POS) Purchase,BRL,2025-01-01 00:00:00,1

15839.03,7947.38,Mexico,Albania,Cash Advance,INR,2025-01-01 00:00:00,1

10971.52,5527.13,Qatar,Colombia,Batch Payment,GBP,2025-01-01 00:00:00,1

8414.43,6092.08,Latvia,Tuvalu,Foreign Currency Exchange,CLP,2025-01-01 00:00:00,1

4158.34,3667.23,Grenada,Libya,Reversal,EUR,2025-01-01 00:00:00,1

2626.16,2218.57,Slovakia,San Marino,Merchant Settlement,ILS,2025-01-01 00:00:00,1

6049.97,2617.3,Latvia,Georgia,Interest Debit,GBP,2025-01-01 00:00:00,1

1880.68,1690.46,Samoa,Gabon,Foreign Remittance,CNY,2025-01-01 00:00:00,0

13496.61,11258.36,Iraq,Qatar,Standing Order,CAD,2025-01-01 00:00:00,1

13581.35,11112.92,Haiti,Saint Kitts and Nevis,Merchant Settlement,SGD,2025-01-01 00:00:00,1

4856.88,3287.03,Tunisia,Ghana,Withdrawal,PLN,2025-01-01 00:00:00,1

9760.48,6071.66,Qatar,Vatican City (Holy See),Deposit,NZD,2025-01-01 00:00:00,1

1400.85,589.71,Swaziland,Cambodia,Fee Charge,THB,2025-01-01 00:00:00,0

7559.54,5007.22,Costa Rica,Zambia,Loan Payment,EUR,2025-01-01 00:00:00,1

7771.77,5989.57,Finland,Cambodia,Bill Payment,CAD,2025-01-01 00:00:00,1

19301.02,9387.34,Madagascar,Russia,Withdrawal,TRY,2025-01-01 00:00:00,1

10182.56,9015.71,Zambia,Egypt,Batch Payment,THB,2025-01-01 00:00:00,1

18374.3,10221.12,Dominican Republic,Kosovo,Direct Debit,TWD,2025-01-01 00:00:00,1

5391.74,3887.85,Tonga,Croatia,Refund,MYR,2025-01-01 00:00:00,1

15382.96,13486.86,Equatorial Guinea,Latvia,Fee Charge,RON,2025-01-01 00:00:00,1

104.18,52.3,Suriname,Bhutan,Point of Sale (POS) Purchase,CHF,2025-01-01 00:00:00,0

4872.64,3751.47,Finland,Philippines,Wire Transfer,HKD,2025-01-01 00:00:00,1

19806.97,8690.15,Uruguay,Korea, North,Salary Payment,MXN,2025-01-01 00:00:00,1

15800.2,8011.13,Uganda,Monaco,Interest Debit,INR,2025-01-01 00:00:00,1

8767.24,4290.69,Australia,Bolivia,Foreign Remittance,COP,2025-01-01 00:00:00,1

5675.39,4977.77,Azerbaijan,Philippines,Interest Credit,TWD,2025-01-01 00:00:00,1

5233.61,2285.09,Montenegro,Latvia,External Transfer,RUB,2025-01-01 00:00:00,1

15344.68,11384.13,Korea, North,Uganda,Loan Payment,NOK,2025-01-01 00:00:00,1

7005.89,4441.58,Liechtenstein,Niger,International Transfer,BRL,2025-01-01 00:00:00,1

8422.07,5767.47,Saudi Arabia,Brazil,International Transfer,NZD,2025-01-01 00:00:00,1

10818.31,7105.28,Lithuania,Malawi,ATM Deposit,THB,2025-01-01 00:00:00,1

1851.27,1504.06,Iceland,Benin,External Transfer,KRW,2025-01-01 00:00:00,0

7359.85,3963.41,Lesotho,Canada,Loan Payment,CLP,2025-01-01 00:00:00,1

15547.56,11134.52,Estonia,Malawi,External Transfer,CAD,2025-01-01 00:00:00,1

18237.6,8282.54,Australia,Namibia,Bill Payment,SEK,2025-01-01 00:00:00,1

19193.52,11305.57,Iraq,Laos,Mobile Payment,EUR,2025-01-01 00:00:00,1

12409.6,8059.25,United Kingdom,Croatia,Cash Advance,CHF,2025-01-01 00:00:00,1

15196.27,7430.15,Morocco,Nepal,Direct Debit,EUR,2025-01-01 00:00:00,1

12623.08,5959.33,Qatar,Burkina Faso,Credit Card Payment,RUB,2025-01-01 00:00:00,1

264.13,195.55,Japan,Vanuatu,Credit Card Payment,ZAR,2025-01-01 00:00:00,0

5040.4,3010.17,Moldova,Peru,Foreign Remittance,CLP,2025-01-01 00:00:00,1

11233.08,9343.99,Romania,Ukraine,Cash Advance,SAR,2025-01-01 00:00:00,1

1089.38,808.09,Switzerland,Guinea-Bissau,International Transfer,NZD,2025-01-01 00:00:00,0

16779.56,6909.46,Monaco,Ukraine,External Transfer,SGD,2025-01-01 00:00:00,1

6834.27,4117.93,Solomon Islands,Moldova,Check Deposit,GBP,2025-01-01 00:00:00,1

5393.74,4086.21,Grenada,Romania,Insurance Payment,PHP,2025-01-01 00:00:00,1

16281.78,13577.64,Ecuador,Samoa,Debit Card Payment,BRL,2025-01-01 00:00:00,1

6907.43,5328.73,Tunisia,Botswana,Insurance Payment,ZAR,2025-01-01 00:00:00,1

7285.96,3470.07,Senegal,United States of America,Bill Payment,BRL,2025-01-01 00:00:00,1

7102.09,3950.81,Mauritania,Sierra Leone,Card Payment,RON,2025-01-01 00:00:00,1

9809.02,5750.72,Uzbekistan,Guyana,Check Deposit,USD,2025-01-01 00:00:00,1

5436.72,4456.65,New Zealand,Switzerland,Foreign Currency Exchange,CHF,2025-01-01 00:00:00,1

16828.17,14598.45,Seychelles,Belgium,Insurance Payment,IDR,2025-01-01 00:00:00,1

10172.57,4175.89,Madagascar,Panama,Foreign Currency Exchange,PLN,2025-01-01 00:00:00,1

16580.97,14553.27,Sudan,Zimbabwe,Online Transfer,AED,2025-01-01 00:00:00,1

16468.24,7558.44,Sweden,Pakistan,Wire Transfer,NZD,2025-01-01 00:00:00,1

13903.0,9512.24,Belarus,Bulgaria,Debit Card Payment,JPY,2025-01-01 00:00:00,1

1627.51,690.78,Germany,Korea, North,Insurance Payment,IDR,2025-01-01 00:00:00,0

9970.27,4780.54,Italy,Germany,Withdrawal,NZD,2025-01-01 00:00:00,1

13922.71,9405.09,Montenegro,Somalia,Wire Transfer,MYR,2025-01-01 00:00:00,1

12782.61,11315.12,Fiji,Benin,P2P Transfer,SGD,2025-01-01 00:00:00,1

17866.15,13550.01,Romania,Haiti,Cash Advance,TRY,2025-01-01 00:00:00,1

13555.72,9019.17,Sri Lanka,Turkey,Subscription Payment,TWD,2025-01-01 00:00:00,1

9042.03,6096.51,Sweden,Ecuador,Debit Card Payment,CHF,2025-01-01 00:00:00,1

19667.06,8873.1,Mauritania,Turkey,Refund,SEK,2025-01-01 00:00:00,1

1216.55,726.76,Barbados,Belarus,Salary Payment,SEK,2025-01-01 00:00:00,0

2178.93,1839.52,Singapore,Norway,Foreign Currency Exchange,MYR,2025-01-01 00:00:00,1

5598.97,4066.86,Finland,Israel,Card Payment,CNY,2025-01-01 00:00:00,1

15829.15,9437.84,Ireland,Burundi,Check Deposit,GBP,2025-01-01 00:00:00,1

11261.34,4777.78,Bolivia,Albania,External Transfer,PHP,2025-01-01 00:00:00,1

12720.54,10261.64,Laos,Saint Vincent and the Grenadines,Interest Debit,HKD,2025-01-01 00:00:00,1

14064.19,7994.96,Libya,Algeria,Direct Debit,ZAR,2025-01-01 00:00:00,1

16193.55,8045.29,Sao Tome and Principe,Slovakia,Foreign Remittance,BRL,2025-01-01 00:00:00,1

15959.81,9997.03,Maldives,Slovakia,Check Deposit,RON,2025-01-01 00:00:00,1

16120.33,10705.79,Kazakhstan,Austria,Bill Payment,TWD,2025-01-01 00:00:00,1

10745.16,5756.06,Monaco,Ireland,Foreign Remittance,PLN,2025-01-01 00:00:00,1

5946.98,4461.01,Zambia,Solomon Islands,Salary Payment,KRW,2025-01-01 00:00:00,1

18625.97,15839.68,Netherlands,Chad,Internal Transfer,AUD,2025-01-01 00:00:00,1

17950.76,9943.84,Somalia,El Salvador,Credit Card Payment,THB,2025-01-01 00:00:00,1

6974.92,5739.35,The Gambia,Grenada,Mobile Payment,NOK,2025-01-01 00:00:00,1

4792.88,2421.12,Bolivia,Israel,Batch Payment,TWD,2025-01-01 00:00:00,1

6156.8,4270.09,Belize,Tunisia,Interest Debit,HUF,2025-01-01 00:00:00,1

2097.19,1755.13,Chad,Benin,Subscription Payment,TWD,2025-01-01 00:00:00,1

17370.76,12744.62,Guinea-Bissau,Saint Kitts and Nevis,Bill Payment,RUB,2025-01-01 00:00:00,1

7883.05,4240.97,Honduras,Vietnam,Online Transfer,TRY,2025-01-01 00:00:00,1

12816.89,6252.16,Hungary,Turkmenistan,Interest Debit,RON,2025-01-01 00:00:00,1

14917.61,10860.15,Tunisia,Denmark,Point of Sale (POS) Purchase,HKD,2025-01-01 00:00:00,1

1517.43,896.22,Lesotho,Namibia,Direct Debit,HUF,2025-01-01 00:00:00,0

13932.69,12534.98,Jamaica,Niger,Check Withdrawal,RON,2025-01-01 00:00:00,1

7035.45,5865.97,Bosnia and Herzegovina,Saudi Arabia,Gift Card Purchase,ILS,2025-01-01 00:00:00,1

16857.08,14201.63,Benin,Vietnam,Interest Credit,CAD,2025-01-01 00:00:00,1

7868.39,5442.95,Mauritius,Sao Tome and Principe,Interest Credit,CZK,2025-01-01 00:00:00,1

16770.99,10625.73,Thailand,Hungary,Wire Transfer,MYR,2025-01-01 00:00:00,1

8144.01,3976.11,Honduras,Swaziland,Bill Payment,SAR,2025-01-01 00:00:00,1

10833.83,9201.11,Italy,Fiji,Debit Card Payment,SAR,2025-01-01 00:00:00,1

12354.51,6656.99,Korea, South,Latvia,Card Payment,MYR,2025-01-01 00:00:00,1

10648.82,9173.31,Finland,Equatorial Guinea,ATM Withdrawal,ZAR,2025-01-01 00:00:00,1
3055.22,2552.57,Grenada,Greece,Prepaid Card Load,ZAR,2025-01-01 00:00:00,1

5675.03,4900.73,San Marino,Venezuela,Check Withdrawal,CLP,2025-01-01 00:00:00,1

12172.42,8947.53,Hungary,Czech Republic,Mortgage Payment,BRL,2025-01-01 00:00:00,1

14062.03,7880.0,Korea, North,Brazil,Batch Payment,IDR,2025-01-01 00:00:00,1

6039.28,3335.64,Serbia,Congo, Republic of the,Fee Charge,GBP,2025-01-01 00:00:00,1

2616.98,1900.81,Ghana,Togo,Deposit,TRY,2025-01-01 00:00:00,1

10946.54,4618.6,Myanmar (Burma),Dominican Republic,Credit Card Payment,COP,2025-01-01 00:00:00,1

3771.0,3327.18,Suriname,Antigua and Barbuda,Wire Transfer,CZK,2025-01-01 00:00:00,1

15340.91,7655.42,Senegal,Germany,ATM Withdrawal,DKK,2025-01-01 00:00:00,1

934.33,571.81,Guatemala,Argentina,Internal Transfer,GBP,2025-01-01 00:00:00,0

19182.01,9561.59,Norway,Syria,Subscription Payment,ILS,2025-01-01 00:00:00,1

18480.14,14347.14,Togo,China,Wire Transfer,PHP,2025-01-01 00:00:00,1

